Firm,Link,Description,Phone,Address,Website
"Spain & Gillon, LLC",https://www.us-barassociation.org/firms/detail/8ec1ef9555ba0084,"We are in the relationship business. There's a reason we’ve enjoyed long-term associations with many of our clients over the last 100 years: We don't take these relationships for granted.

We know our clients and we understand their businesses. Because we are intimately familiar with our clients’ operations and their goals, we can better evaluate the risks they face and the opportunities available to them.

We are dedicated to helping our community. As a Firm and as individuals, we are involved in a wide variety of community organizations that have significantly contributed to Birmingham’s progress.",Phone(s): (205) 328-4100,"505 20th Street North, Suite 1200
Birmingham, Alabama
35203",N/A
"Sree B. Ravi, P.C., Attorney at Law",https://www.us-barassociation.org/firms/detail/a406fd3ea254e699,"Family law issues affect every aspect of your personal life. Whether you are going through a divorce or seeking modifications or enforcement of a child support or custody order, you need a reliable, knowledgeable advocate. Serving clients throughout Northern Alabama, Sree B. Ravi, P.C., Attorney at Law offers strong legal support in a caring environment for divorce and family law matters. Additional services we provide are DUI representation, will preparation, and landlord/tenant dispute resolution.

At Sree B. Ravi, P.C., Attorney at Law, we focus on your needs and building a strong relationship with you. We offer a free initial consultation to discuss your case. Our office is conveniently located near the Madison County Courthouse in Huntsville.",Phone(s): (256) 690-6044,"221 Eastside Square, Suite 1
Huntsville, Alabama
35801",https://www.sreeravilaw.com/
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/62a8892b1c331359,N/A,N/A,N/A,N/A
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/45fa312bb1caa6ad,N/A,N/A,N/A,N/A
"Stewart Howard, PC",https://www.us-barassociation.org/firms/detail/779b582e4f26ea9c,N/A,N/A,N/A,N/A
"Stokes Stemle, LLC",https://www.us-barassociation.org/firms/detail/504f65e45d4c5edb,"Stokes Stemle, LLC is a personal injury firm located in Montgomery, Alabama that serves clients in the surrounding region and throughout the state.",Phone(s): (334) 316-4123,"445 Dexter Avenue, Suite 4050
Montgomery, Alabama
36104",https://stokesstemle.com/
"Swift, Currie, McGhee & Hiers, LLP",https://www.us-barassociation.org/firms/detail/f22168b710e55674,N/A,N/A,N/A,N/A
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/3bb411645bf1496d,N/A,N/A,N/A,N/A
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/aad12bde415b3363,N/A,N/A,N/A,N/A
"The Anderson Law Firm, L.L.C.",https://www.us-barassociation.org/firms/detail/02ed56ad0f910fc1,N/A,N/A,N/A,N/A
"The Atchison Firm, P.C.",https://www.us-barassociation.org/firms/detail/e2bbc35e33bed197,N/A,N/A,N/A,N/A
"The Dodd Law Firm, LLC",https://www.us-barassociation.org/firms/detail/cdcb80c7ce2da167,N/A,N/A,N/A,N/A
The Hawkins Law Firm,https://www.us-barassociation.org/firms/detail/01339dd63b4df782,"Welcome to The Hawkins Law Firm. Our firm assists individuals, families and businesses in key areas that we believe are most important to them. By focusing on family law, estate planning, probate law, business law, criminal law, litigation, mediation and appellate advocacy, our firm is able to provide excellent legal services to a broad range of clients. Our focused approach eliminates the outdated practice model of trying to be all things to all people. Instead, we strive to be your guide through complex issues and problems in areas that matter most to you.

Lana Hawkins, the firm’s founder and senior partner, currently serves as the Chair of the Committee on Child Support for the Family Law Section of the American Bar Association. She was selected for a Lifetime Achievement Award by America’s Top 100 Attorneys in 2019. Ms. Hawkins was recognized as a Top 10 Best Attorney for Client Satisfaction by The American Institute of Family Law Attorneys in 2015, as a Top 100 Family Lawyer by ASLA in 2014 and by The National Advocates in 2015. The American Academy of Trial Attorneys named Ms. Hawkins as a Top 100 Trial Attorney in the state of Alabama in 2015. Ms. Hawkins works with a team of attorneys, law clerks, paralegals and administrative staff to ensure that the firm’s work is produced with clarity and efficiency at every stage of representation. The firm’s three offices are located in Guntersville, Huntsville, and Arab. The firm represents clients throughout Alabama, including Marshall, Madison, DeKalb, Etowah, Jackson, Morgan, Cullman, Limestone and Blount counties.

We are here to help individuals and families in divorce and modification matters, custody and child support issues, paternity adjudications, dependency cases, adoption, domestic violence and other criminal law matters. We also assist our clients with estate planning matters, ranging from wills and trusts to health care directives, powers of attorney and incapacity planning. Our probate law practice includes estate administration, conservatorships, guardianships, will contests and estate litigation. For entrepreneurs and business people who need assistance in business and corporate law matters, the firm offers a wealth of experience. The firm’s litigation, mediation and appellate advocacy practices complement its key areas and also include most civil proceedings.",Phone(s): (256) 705-3593,"600 Boulevard South SW, Suite 104
Huntsville, Alabama
35802",N/A
"The Law Offices of Brian Turner, LLC",https://www.us-barassociation.org/firms/detail/f17d6d0c3b792292,N/A,N/A,N/A,N/A
"The Law Offices of Rufus R. Smith, Jr.",https://www.us-barassociation.org/firms/detail/b71400fb768897aa,N/A,N/A,N/A,N/A
The Law Offices of Zackery L. Burr,https://www.us-barassociation.org/firms/detail/b02a28892b7ccfb7,N/A,N/A,N/A,N/A
"The Martin Law Group, LLC",https://www.us-barassociation.org/firms/detail/f14b600f0f575488,N/A,N/A,N/A,N/A
The Segrest Law Firm,https://www.us-barassociation.org/firms/detail/7a74c9582eb8f864,N/A,N/A,N/A,N/A
"The Wininger Law Firm, LLC",https://www.us-barassociation.org/firms/detail/21f7151474428bfb,N/A,N/A,N/A,N/A
"The Yeatts Law Firm, LLC",https://www.us-barassociation.org/firms/detail/31c25027caa22fa0,"The Yeatts Law Firm, LLC is located in Birmingham, Alabama and concentrates in family law. The firm offers clients a fresh approach to family law matters including contested and uncontested divorce, collaborative divorce, child support and visitation, child custody and adoption, paternity,",Phone(s): (205) 530-1331,"2007 3rd Ave. N.
Birmingham, Alabama
35203",N/A
"Thomas, Means, Gillis & Seay, P.C.",https://www.us-barassociation.org/firms/detail/9efddcb8b898c043,N/A,N/A,N/A,N/A
"Wallace, Jordan, Ratliff & Brandt, L.L.C",https://www.us-barassociation.org/firms/detail/b825ded59bf9dda9,N/A,N/A,N/A,N/A
Waller,https://www.us-barassociation.org/firms/detail/9d7d1b4c21d251a6,N/A,N/A,N/A,N/A
"Walton Law Firm, PC",https://www.us-barassociation.org/firms/detail/d281ea20d8f2af85,N/A,N/A,N/A,N/A
Warhurst Law,https://www.us-barassociation.org/firms/detail/69f9a35943fd93ac,"Warhurst Law is an insurance claims dispute firm located in Mobile, Alabama that serves clients throughout the southeast, including the Gulf Coast, Louisiana, and the Florida panhandle. Practice areas include commercial claims, fire and flood claims, hurricane and tornado claims, business interruption claims, hotel claims, and bad faith actions, as well as personal injury.

Gene Warhurst, the firm’s founder, is highly knowledgeable about many different sides of insurance dispute law. As a former Florida insurance claims adjuster, he understands what steps insurance companies should take to protect their clients and when insurance companies aren’t acting in good faith. Over the course of his career, Gene has earned multiple insurance certifications, including the prestigious CPCU.

Representing individuals, businesses, and churches, Warhurst Law advocates for clients against insurance companies, working to protect the rights of policyholders through negotiating settlements or litigation.",Phone(s): (251) 694-1932,"305 N. Jackson St.
Mobile, Alabama
36603",https://www.warhurstlaw.com/
"Watson Graffeo, PC",https://www.us-barassociation.org/firms/detail/56946ef7a0636550,N/A,N/A,N/A,N/A
"Whittelsey, Whittelsey, Poole and Corley, PC",https://www.us-barassociation.org/firms/detail/c9816ecbba6b917a,N/A,N/A,N/A,N/A
"Wiggins, Childs, Quinn & Pantazis, LLC",https://www.us-barassociation.org/firms/detail/c3d2eee7239868d5,N/A,N/A,N/A,N/A
"William L. Pfeifer, Jr.",https://www.us-barassociation.org/firms/detail/64e80dcf560105f0,N/A,N/A,N/A,N/A
"Yearout & Traylor, P.C.",https://www.us-barassociation.org/firms/detail/b97773bfa525de4e,N/A,N/A,N/A,N/A
